x,y,z,label
-0.6406,0.6914,0.3438,lean_left
-0.6523,0.6836,0.3438,lean_left
-0.6367,0.6758,0.3359,lean_left
-0.6484,0.6914,0.3477,lean_left
-0.6328,0.6914,0.3398,lean_left
-0.6523,0.6992,0.3633,lean_left
-0.6523,0.6953,0.3594,lean_left
-0.6406,0.6797,0.3516,lean_left
-0.6406,0.6797,0.3594,lean_left
-0.6367,0.6758,0.3516,lean_left
-0.6523,0.6758,0.3477,lean_left
-0.6484,0.6992,0.3555,lean_left
-0.6328,0.6797,0.3594,lean_left
-0.6406,0.6797,0.3438,lean_left
-0.6445,0.6797,0.3516,lean_left
-0.6328,0.6797,0.3359,lean_left
-0.6523,0.6719,0.3555,lean_left
-0.6484,0.6836,0.3477,lean_left
-0.6445,0.6797,0.3438,lean_left
-0.6484,0.6719,0.3555,lean_left
-0.6484,0.6758,0.3438,lean_left
-0.6484,0.6797,0.3398,lean_left
-0.6563,0.6758,0.3477,lean_left
-0.6602,0.6797,0.3555,lean_left
-0.6445,0.6719,0.3477,lean_left
-0.6563,0.6719,0.3438,lean_left
-0.6563,0.6680,0.3477,lean_left
-0.6484,0.6719,0.3477,lean_left
-0.6445,0.6758,0.3477,lean_left
-0.6563,0.6719,0.3555,lean_left
-0.6523,0.6719,0.3555,lean_left
-0.6445,0.6719,0.3438,lean_left
-0.6563,0.6719,0.3477,lean_left
-0.6445,0.6719,0.3359,lean_left
-0.6523,0.6758,0.3477,lean_left
-0.6523,0.6641,0.3477,lean_left
-0.6484,0.6758,0.3438,lean_left
-0.6328,0.6797,0.3086,lean_left
-0.6484,0.6719,0.3359,lean_left
-0.6523,0.6641,0.3398,lean_left
-0.6602,0.6563,0.3398,lean_left
-0.6406,0.6758,0.3398,lean_left
-0.6445,0.6758,0.3477,lean_left
-0.6680,0.6680,0.3555,lean_left
-0.6523,0.6797,0.3438,lean_left
-0.6523,0.6797,0.3516,lean_left
-0.6602,0.6797,0.3516,lean_left
-0.6563,0.6758,0.3359,lean_left
-0.6484,0.6758,0.3359,lean_left
-0.6484,0.6719,0.3359,lean_left
-0.6484,0.6758,0.3398,lean_left
-0.6406,0.6797,0.3359,lean_left
-0.6484,0.6797,0.3477,lean_left
-0.6406,0.6875,0.3398,lean_left
-0.6367,0.6914,0.3398,lean_left
-0.6367,0.6914,0.3438,lean_left
-0.6328,0.6875,0.3438,lean_left
-0.6367,0.6875,0.3359,lean_left
-0.6328,0.6914,0.3359,lean_left
-0.6328,0.6914,0.3359,lean_left
-0.6445,0.6875,0.3281,lean_left
-0.6406,0.6875,0.3359,lean_left
-0.6133,0.6992,0.3438,lean_left
-0.6328,0.6914,0.3398,lean_left
-0.6367,0.6875,0.3398,lean_left
-0.6328,0.6953,0.3320,lean_left
-0.6367,0.6875,0.3320,lean_left
-0.6445,0.6914,0.3359,lean_left
-0.6406,0.6914,0.3320,lean_left
-0.6406,0.6914,0.3438,lean_left
-0.6445,0.6953,0.3320,lean_left
-0.6367,0.6953,0.3398,lean_left
-0.6367,0.6875,0.3281,lean_left
-0.6406,0.6875,0.3359,lean_left
-0.6406,0.6953,0.3320,lean_left
